city,lat,lng,group
Cuitzeo del Porvenir,19.9686,-101.1394,C
Zacoalco de Torres,20.2333,-103.5833,B
Metepec,19.2511,-99.6047,C
Tetela de Ocampo,19.8167,-97.8,C
Xochistlahuaca,16.7914,-98.2419,A
San Felipe Jalapa de Díaz,18.0667,-96.5333,A
Nochistlán de Mejía,21.3642,-102.8464,C
Quiroga,19.6667,-101.5333,C
Villa Luvianos,18.92,-100.2983,A
Motozintla,15.3632,-92.2477,A
Tlalpujahua de Rayón,19.805,-100.1744,C
Soledad de Doblado,19.05,-96.4167,A
Atlautla,19.0,-98.7167,C
San Juan Guichicovi,16.9667,-95.0833,A
Contla,19.3333,-98.1667,C
Apaxco de Ocampo,19.98,-99.17,C
Los Reyes de Juárez,18.9458,-97.8058,C
Tuxpan,19.5661,-100.4625,C
Jalpan,21.2167,-99.4725,C
Castaños,26.7833,-101.4167,B
Cuerámaro,20.6258,-101.6739,C
Tepehuacán de Guerrero,21.0131,-98.8442,C
San Agustín Tlaxiaca,20.1144,-98.8867,C
Villagrán,20.517,-100.983,B
Amatepec,18.65,-100.15,A
Nava,28.4214,-100.7675,C
Atitalaquia,20.0583,-99.2208,B
Acapetahua,15.2333,-92.7667,A
Paracuaro,19.1467,-102.2194,B
Tlaxcoapan,20.0953,-99.22,B
Miacatlán,18.7722,-99.3547,A
Cuajinicuilapa,16.4717,-98.4153,A
Tecolutla,20.4797,-97.01,A
Jaltenco,19.7511,-99.0931,C
Tehuipango,18.5167,-97.05,C
Santiago Papasquiaro,25.0439,-105.4192,B
Tuxpan,21.8667,-105.45,A
Huaquechula,18.7667,-98.55,A
Puerto Escondido,15.8619,-97.0672,A
Ciudad Altamirano,18.3472,-100.6531,A
Tecax,20.2019,-89.2881,A
Felipe Carrillo Puerto,19.5786,-88.0453,A
Huejotzingo,19.1619,-98.4064,C
Arriaga,16.2361,-93.8995,A
Pinal de Amoles,21.1342,-99.4586,C
Acatlán,20.2333,-103.5333,B
Atlatlahucan,18.935,-98.9,A
Miahuatlán,18.5667,-97.4333,B
Álamo,20.9167,-97.675,A
Santa María Tonameca,15.7458,-96.5472,B
Sultepec,18.8667,-99.95,C
Hunucmá,21.0153,-89.8744,B
Ixhuatlancillo,18.9,-97.15,C
Jamay,20.29,-102.71,C
Zumpango del Río,17.65,-99.5,B
Carlos A. Carrillo,18.3667,-95.75,A
Amatán,17.3667,-92.8167,A
San Agustín Loxicha,16.0167,-96.6167,C
Las Margaritas,16.3159,-91.9816,C
El Salto,23.7823,-105.3585,C
Santa María Colotepec,15.8833,-96.9167,A
Manlio Fabio Altamirano,19.1003,-96.3411,A
Tantoyuca,21.35,-98.2333,A
San Miguel Ocotenco,19.0666,-97.4525,C
Ciudad Serdán,18.9833,-97.45,C
Atotonilco el Grande,20.6667,-98.6667,C
