"","city","lat","lng","group"
"517","San Juan Cotzocón",17.1667,-95.7833,"C"
"518","Cazones de Herrera",20.7044,-97.3106,"A"
"519","Ahualulco de Mercado",20.6167,-103.8667,"C"
"520","Tecali",18.9,-97.9667,"C"
"521","San Martín Totolán",20.0833,-102.65,"C"
"522","Cerro Azul",21.192,-97.7409,"A"
"523","General Pánfilo Natera",22.665,-102.1097,"B"
"524","San Buenaventura",27.0625,-101.5467,"B"
"525","Doctor Mora",21.1425,-100.3192,"B"
"526","La Higuerita",19.5,-104.8833,"A"
"527","La Huerta",19.4833,-104.65,"A"
"528","Ozuluama de Mascareñas",21.6667,-97.85,"A"
"529","Motul",21.1667,-89.4667,"B"
"530","Tototlán",20.5333,-102.7833,"C"
"531","Soledad Atzompa",18.75,-97.15,"C"
"532","Tamiahua",21.2788,-97.4462,"A"
"533","Rafael Delgado",18.8167,-97.0667,"C"
